"user","totalTime","totalActions","idleTime","startSession","clickInputNote","saveNote","cancelNote","updateNote","hoverTextarea","hoverEntityInNote","addEntity","addEntityRepeat","removeEntity","removeFromYear","removeFromChart","replyToNote","clickEditNote","selectCountry","deselectCountry","hoverCountryLabel","deselectAll","deleteNote","viewCountryNote","viewYearNote","removeFilter","viewDiscussion","removeDiscussion","showNotes","onlyShowMine","alsoShowPublic","hideNotes","dragNode","hoverNode","scrollToView","gotoQuestionnaire","checkQuestionnaire","checkTutorial","checkTask","toHidden","toVisible","hoverNoteInNote","hoverNoteText","selectYear","selectYearNote","play","playNote","stop","stopNote","hoverMapPoint","hoverMapPointNote","hoverTimeline","hoverTimelineNote","hoverSpecificYear","hoverSpecificYearNote","hoverYearLabel","hoverYearLabelNote","hoverMouseline","hoverMouselineNote"
1,781,146,0,1,6,5,1,0,7,0,16,0,8,0,0,0,0,58,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
2,763,116,250,1,5,5,0,0,7,0,14,3,2,0,0,0,0,26,24,2,0,0,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,9,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
3,1780,176,2,1,8,5,3,2,12,0,15,6,5,0,0,0,2,49,46,3,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1
4,1569,214,654,1,4,5,2,0,4,0,20,6,7,0,0,3,0,26,25,1,0,0,1,1,2,0,0,1,7,7,0,0,0,0,0,0,0,1,18,18,0,0,1,0,1,0,1,0,11,0,8,0,7,2,1,0,18,3
5,595,44,0,1,6,5,1,4,5,0,9,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,858,52,0,1,6,6,0,0,5,0,9,1,1,1,0,0,0,5,3,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0
7,5713,360,397,1,5,8,5,1,34,0,17,3,4,0,0,7,2,88,44,5,8,1,0,0,0,2,1,1,7,7,0,1,0,4,0,0,2,0,14,14,0,2,13,0,1,0,1,0,11,0,15,0,6,1,5,0,4,15
8,236,62,0,1,5,5,0,0,6,0,6,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,827,66,0,1,5,5,3,2,7,0,7,0,2,2,0,1,4,10,8,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2317,121,990,1,0,5,1,0,26,1,14,0,3,0,0,6,0,21,20,0,0,0,0,1,1,0,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,2,2,0,1,1,0,0,3,0
11,2989,152,68,2,7,6,0,1,25,0,16,0,0,0,0,0,1,13,10,2,0,1,3,0,3,0,0,3,11,9,1,0,0,0,0,0,0,0,3,3,0,11,0,0,1,0,1,0,7,0,2,0,3,0,0,0,5,1
12,412,58,0,1,0,6,0,0,9,0,6,0,0,0,0,6,0,9,5,0,1,0,1,2,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
13,1176,200,88,1,6,6,1,0,14,1,18,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,2,8,8,0,1,106,0,0,2,0,2,4,1,0,0,0,1,3,0,0,1
14,855,72,10,1,6,6,1,0,5,0,8,0,1,0,0,1,0,15,3,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0
15,1317,182,1083,1,4,5,0,0,20,0,9,0,4,0,0,1,0,57,56,2,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,0,3,0,1,0,1,0,5,1
16,579,78,0,1,1,5,3,0,7,0,7,0,0,0,0,7,0,16,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
17,587,71,1,1,5,5,0,0,7,0,10,4,3,0,0,0,0,14,13,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1937,210,6598,3,5,5,2,6,14,0,20,0,4,0,0,2,6,40,38,2,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,4,1,2,21,20,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
19,1080,136,495,1,5,5,0,1,15,0,9,10,1,0,0,0,1,25,24,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,11,0,0,0,0,0,3,0,6,0,1,0,5,0,3,1
20,1518,66,895,1,3,5,0,0,9,0,11,0,1,1,0,2,0,6,4,1,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,3,1
21,589,77,0,1,6,5,1,0,6,0,7,1,2,1,0,0,0,17,0,1,6,0,1,0,1,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,4,0,0,0,0,0,1,2
22,1586,200,0,1,12,10,2,2,18,0,13,1,1,4,0,0,2,48,43,2,1,0,1,0,0,0,0,3,7,6,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,1,0,6,6
23,997,181,1,1,1,5,3,1,7,2,20,2,1,1,0,7,1,58,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,4,0,2,0,0,0,3,0
