"user","countryTotal","countryDuplicate","uniqCountry","yearTotal","yearDuplicate","uniqYear"
1,58,24,34,0,0,0
2,26,9,17,9,4,5
3,49,17,32,0,0,0
4,26,15,11,1,0,1
5,2,0,2,0,0,0
6,5,2,3,0,0,0
7,88,51,37,13,7,6
8,20,9,11,0,0,0
9,10,3,7,0,0,0
10,21,11,10,0,0,0
11,13,2,11,0,0,0
12,9,1,8,2,0,2
13,0,0,0,106,76,30
14,15,4,11,0,0,0
15,57,24,33,2,0,2
16,16,4,12,1,0,1
17,14,1,13,0,0,0
18,40,25,15,0,0,0
19,25,12,13,11,4,7
20,6,0,6,0,0,0
21,17,4,13,0,0,0
22,48,31,17,0,0,0
23,58,26,32,1,0,1
24,11,6,5,36,12,24
25,85,44,41,13,1,12
26,9,1,8,11,3,8
27,25,8,17,0,0,0
28,48,19,29,0,0,0
29,27,8,19,5,0,5
30,57,24,33,0,0,0
31,50,21,29,0,0,0
32,25,11,14,0,0,0
33,20,5,15,0,0,0
34,55,27,28,2,0,2
35,11,0,11,31,10,21
36,10,1,9,0,0,0
37,18,8,10,0,0,0
38,74,44,30,0,0,0
39,60,31,29,24,7,17
40,47,32,15,0,0,0
41,4,0,4,0,0,0
42,29,15,14,0,0,0
43,23,5,18,27,19,8
44,7,0,7,0,0,0
45,17,1,16,0,0,0
46,2,0,2,2,1,1
47,9,3,6,2,0,2
48,23,10,13,0,0,0
49,38,26,12,5,1,4
50,17,8,9,0,0,0
51,11,1,10,0,0,0
52,5,0,5,213,165,48
53,80,45,35,2,0,2
54,30,14,16,79,39,40
55,18,1,17,0,0,0
56,22,8,14,4,0,4
57,18,5,13,0,0,0
58,50,24,26,0,0,0
59,22,4,18,4,2,2
60,4,0,4,0,0,0
61,8,2,6,0,0,0
62,35,16,19,0,0,0
63,2,0,2,8,5,3
64,31,10,21,17,10,7
65,15,3,12,0,0,0
66,18,6,12,0,0,0
67,20,6,14,0,0,0
68,16,7,9,81,37,44
69,40,19,21,0,0,0
70,37,13,24,1,0,1
71,103,62,41,11,2,9
72,15,7,8,0,0,0
73,14,8,6,0,0,0
74,9,0,9,0,0,0
75,23,7,16,0,0,0
76,38,18,20,16,5,11
77,11,3,8,0,0,0
78,42,11,31,34,7,27
79,9,2,7,0,0,0
80,25,9,16,20,6,14
81,0,0,0,17,6,11
82,14,4,10,29,9,20
83,13,4,9,0,0,0
84,4,0,4,10,5,5
85,103,61,42,13,11,2
86,32,9,23,1,0,1
87,7,1,6,3,0,3
88,29,18,11,0,0,0
89,14,2,12,0,0,0
90,23,7,16,0,0,0
91,6,1,5,20,6,14
92,26,9,17,0,0,0
93,17,9,8,0,0,0
94,153,116,37,0,0,0
95,72,41,31,1,0,1
96,10,2,8,8,5,3
97,12,0,12,0,0,0
98,13,4,9,0,0,0
99,19,10,9,0,0,0
100,8,0,8,0,0,0
101,246,203,43,12,8,4
102,6,0,6,0,0,0
103,7,1,6,0,0,0
104,106,73,33,0,0,0
105,30,11,19,0,0,0
106,25,13,12,0,0,0
107,3,1,2,3,2,1
108,11,2,9,0,0,0
109,20,7,13,24,7,17
110,29,11,18,12,4,8
111,35,15,20,0,0,0
112,23,6,17,0,0,0
113,14,6,8,4,0,4
114,57,31,26,0,0,0
115,25,9,16,0,0,0
116,44,13,31,15,3,12
117,9,5,4,0,0,0
118,57,25,32,16,9,7
119,92,61,31,62,25,37
120,4,1,3,25,10,15
121,34,15,19,8,1,7
122,47,21,26,0,0,0
123,16,7,9,0,0,0
124,18,4,14,0,0,0
125,43,15,28,1,0,1
126,20,5,15,0,0,0
127,22,10,12,0,0,0
128,11,5,6,0,0,0
129,11,2,9,18,2,16
130,5,0,5,0,0,0
131,10,4,6,3,0,3
132,19,7,12,23,15,8
133,13,1,12,0,0,0
134,31,15,16,1,0,1
135,43,26,17,4,3,1
136,12,2,10,0,0,0
137,44,20,24,0,0,0
138,4,0,4,70,36,34
139,39,13,26,0,0,0
140,7,0,7,0,0,0
141,27,14,13,0,0,0
142,34,21,13,5,1,4
143,28,12,16,8,1,7
144,4,1,3,0,0,0
145,12,3,9,2,1,1
146,16,8,8,36,19,17
147,13,1,12,2,0,2
148,35,7,28,52,22,30
149,7,0,7,0,0,0
150,30,16,14,0,0,0
151,17,1,16,0,0,0
152,48,27,21,44,23,21
153,10,2,8,9,3,6
154,45,32,13,25,6,19
155,16,2,14,0,0,0
156,39,24,15,26,12,14
157,11,3,8,72,40,32
158,9,1,8,0,0,0
