"note","user","category","detail","prior","correctness","relation","countries","years","values"
"5ecd3bf2bccbe221a1629187",1,"c",1,0,1,1,2,1,0
"5ecd3c73bccbe221a16291d8",1,"c",0,0,1,1,2,0,0
"5ecd3d19bccbe221a162921d",1,"g",0,0,1,1,2,0,0
"5ecd3dbcbccbe221a1629265",1,"s",1,0,1,1,1,1,1
"5ecd3e23bccbe221a162928a",1,"g",0,0,1,1,2,0,0
"5ecedd05bccbe221a162c024",2,"s",0,1,1,1,2,1,0
"5ecedeccbccbe221a162c046",2,"c",0,0,1,1,2,1,0
"5ecedf46bccbe221a162c052",2,"c",1,0,1,1,2,1,0
"5ecedfbabccbe221a162c06a",2,"c",1,0,1,1,2,1,0
"5ecee03cbccbe221a162c08c",2,"c",0,0,1,1,2,0,0
"5ecd64d7bccbe221a1629a57",3,"c",0,1,1,1,2,0,0
"5ecd6651bccbe221a1629ab5",3,"c",0.5,0,1,1,2,1,1
"5ecd67e8bccbe221a1629af8",3,"c",0,0,1,1,4,0,0
"5ecd68febccbe221a1629b0f",3,"c",0,1,1,1,2,0,1
"5ecd6a61bccbe221a1629b47",3,"g",0.5,0,1,1,3,1,0
"5ecc5c03bccbe221a162530a",4,"g",1,0,1,1,3,1,3
"5ecc5e9bbccbe221a162553d",4,"g",1,1,1,1,2,1,2
"5ecc6006bccbe221a1625613",4,"g",1,0,1,1,2,0,2
"5ecc611fbccbe221a162569a",4,"s",0.5,0,1,1,5,1,0
"5ecc61d9bccbe221a1625730",4,"s",1,0,1,1,1,1,0
"5ecd7c16bccbe221a1629e69",5,"c",0.5,0,1,1,2,2,0
"5ecd7c80bccbe221a1629e8b",5,"s",1,0,1,1,1,2,0
"5ecd7cdebccbe221a1629ea2",5,"c",1,1,1,1,2,0,1
"5ecd7d51bccbe221a1629eb5",5,"c",0.5,0,1,1,0,3,0
"5ecd7d9dbccbe221a1629ecd",5,"s",1,0,1,1,2,0,0
"5ecd2ad0bccbe221a1628b36",6,"c",1,0,1,1,2,1,1
"5ecd2b5abccbe221a1628b70",6,"c",0.5,1,1,1,2,1,1
"5ecd2bbfbccbe221a1628bac",6,"c",0.5,0,1,1,2,1,1
"5ecd2c3ebccbe221a1628be6",6,"c",1,0,1,1,2,2,2
"5ecd2cb4bccbe221a1628c1b",6,"c",0.5,0,1,1,2,1,2
"5ecd2d5abccbe221a1628c6f",6,"c",1,0,1,1,2,2,1
"5eccfb4bbccbe221a1627e87",7,"c",0,1,1,-1,2,0,0
"5eccfc39bccbe221a1627e88",7,"g",0,1,1,1,2,0,0
"5eccff78bccbe221a1627ee2",7,"g",0.5,0,1,-1,7,1,0
"5ecd036cbccbe221a1627f2f",7,"c",0.5,1,1,1,3,3,0
"5ecd0600bccbe221a1627ff5",7,"c",0.5,1,1,1,3,3,0
"5ecd0857bccbe221a1628053",7,"c",0.5,1,1,1,2,4,0
"5ecd0ea8bccbe221a162828e",7,"s",1,1,1,1,1,4,0
"5ecda8e9bccbe221a162a3b0",8,"s",0.5,0,1,1,1,1,0
"5ecda917bccbe221a162a3b1",8,"c",0,0,1,1,2,0,0
"5ecda946bccbe221a162a3c8",8,"c",0,0,1,1,2,1,0
"5ecda971bccbe221a162a3df",8,"s",0,0,1,1,1,0,0
"5ecda990bccbe221a162a3eb",8,"s",0,0,1,1,1,0,0
"5ecfe2e15250f80529910f26",9,"c",1,1,0,1,2,1,0
"5ecfe3905250f80529910f3f",9,"c",0.5,0,1,-1,2,2,0
"5ecfe4315250f80529910f6d",9,"c",0.5,1,1,1,2,2,0
"5ecfe4895250f80529910f79",9,"c",0,0,1,1,2,0,0
"5ecfe5315250f80529910f9c",9,"c",0,1,1,1,2,0,0
"5ed3b6415250f80529913e2e",10,"c",0.5,1,1,1,2,4,0
"5ed3b8105250f80529913e74",10,"c",0.5,1,1,-1,3,3,0
"5ed3b8f25250f80529913e98",10,"c",0.5,0,1,1,2,1,0
"5ed3b9d05250f80529913ed4",10,"s",0,1,1,-1,1,1,0
"5ed3c10b5250f80529913f9f",10,"s",0.5,0,1,1,1,2,2
"5ed2dae65250f80529912b84",11,"c",0,0,1,1,2,1,0
"5ed2de565250f80529912bc3",11,"c",0,1,1,1,2,1,0
"5ed2e1575250f80529912c35",11,"c",0.5,0,1,1,2,0,0
"5ed2e1f75250f80529912c4d",11,"c",0,1,1,-1,2,0,0
"5ed2e3d95250f80529912cc3",11,"c",0,1,1,1,2,0,0
"5ecc6172bccbe221a16256df",12,"s",0,0,1,-1,0,0,0
"5ecc618ebccbe221a16256f6",12,"g",0,0,1,-1,0,0,0
"5ecc61c7bccbe221a162572f",12,"s",0,1,1,-1,0,0,0
"5ecc6218bccbe221a1625760",12,"s",0,0,1,-1,1,0,0
"5ecc6255bccbe221a16257a8",12,"s",0,1,1,-1,0,0,0
"5ecc62bfbccbe221a16257f1",12,"s",1,1,1,-1,0,0,0
"5ecc379ebccbe221a1623426",13,"g",0.5,0,1,1,2,1,0
"5ecc37e2bccbe221a16234b5",13,"s",-1,0,-1,-1,0,0,0
"5ecc38b9bccbe221a162360e",13,"s",1,0,1,1,1,0,0
"5ecc3a42bccbe221a162382c",13,"s",0.5,0,1,1,1,1,0
"5ecc3ababccbe221a162388b",13,"s",0.5,0,1,1,1,1,0
"5ecc3bc8bccbe221a162398f",13,"g",0,0,1,1,2,1,0
"5ed48d915250f80529914b57",14,"s",1,0,1,1,1,1,1
"5ed48e055250f80529914b63",14,"s",1,0,1,1,1,1,0
"5ed48e795250f80529914b64",14,"c",1,0,0,1,2,1,0
"5ed48edc5250f80529914b70",14,"s",0,0,1,1,1,2,0
"5ed48f595250f80529914b7c",14,"s",1,0,1,1,1,1,1
"5ecc67aabccbe221a16259cb",15,"c",1,0,1,1,2,1,0
"5ecc6880bccbe221a1625a50",15,"c",0,0,1,1,2,0,0
"5ecc69a2bccbe221a1625b2e",15,"c",0.5,0,1,1,2,1,0
"5ecc6ad8bccbe221a1625bb9",15,"c",0,0,1,1,2,0,0
"5ecc6b70bccbe221a1625c40",15,"s",0.5,0,1,1,1,1,0
"5ed61b295250f805299155eb",16,"g",0,0,1,-1,1,0,0
"5ed61b575250f805299155f7",16,"c",0,0,1,-1,2,0,0
"5ed61ba35250f805299155f8",16,"g",0,0,1,-1,1,0,0
"5ed61bc55250f80529915604",16,"s",0,0,1,-1,1,0,0
"5ed61c395250f80529915610",16,"s",1,1,1,-1,1,0,0
"5eccabf5bccbe221a16271d4",17,"c",0.5,0,1,1,2,1,0
"5eccac5cbccbe221a16271f3",17,"s",0.5,0,1,1,1,1,0
"5eccacc9bccbe221a162720a",17,"s",0.5,0,1,1,1,1,0
"5eccad51bccbe221a1627237",17,"s",0,0,1,1,1,0,0
"5eccadacbccbe221a1627244",17,"s",0.5,0,1,1,1,2,0
"5ecc4f14bccbe221a1624946",18,"g",0,1,1,1,2,0,0
"5ecc5010bccbe221a162499a",18,"g",0,0,1,1,3,0,0
"5ecc50dabccbe221a1624a0a",18,"g",0,0,1,1,4,0,0
"5ecc51b4bccbe221a1624a95",18,"c",0,1,1,0,4,0,0
"5ecc529dbccbe221a1624bc6",18,"g",1,1,1,1,3,0,0
"5ecc9b1cbccbe221a1626c07",19,"c",0.5,0,1,1,3,1,0
"5ecc9b8bbccbe221a1626c2e",19,"s",0.5,0,1,1,0,2,0
"5ecc9ca4bccbe221a1626c67",19,"s",1,0,1,1,1,2,0
"5ecc9d03bccbe221a1626c97",19,"s",0.5,0,1,1,2,1,0
"5ecc9dfbbccbe221a1626cf4",19,"s",0.5,0,1,1,1,2,0
"5ecd8c52bccbe221a162a165",20,"c",1,0,1,1,2,0,0
"5ecd8cb6bccbe221a162a188",20,"c",1,0,1,1,2,1,0
"5ecd8d9cbccbe221a162a1d1",20,"c",0.5,0,1,1,2,1,0
"5ecd8e49bccbe221a162a20c",20,"s",0.5,0,1,1,1,1,1
"5ecd8f41bccbe221a162a218",20,"c",0.5,1,1,1,2,0,1
"5ecd1554bccbe221a1628439",21,"c",1,0,1,1,2,1,0
"5ecd15b2bccbe221a1628454",21,"c",0,1,1,1,2,1,0
"5ecd1602bccbe221a1628463",21,"c",1,0,1,1,2,1,0
"5ecd16b6bccbe221a16284be",21,"c",0,0,1,1,2,1,0
"5ecd1720bccbe221a16284de",21,"c",0,1,1,1,1,1,0
"5ecd2956bccbe221a1628ad6",22,"g",1,0,1,1,1,0,1
"5ecd2a33bccbe221a1628b06",22,"c",0,0,1,1,2,0,0
"5ecd2b72bccbe221a1628b7d",22,"g",0,1,1,1,1,0,0
"5ecd2cfcbccbe221a1628c2a",22,"c",1,1,1,1,2,1,0
"5ecd2d2dbccbe221a1628c4d",22,"c",0,0,1,1,2,0,0
"5ecd2d8abccbe221a1628c7c",22,"c",1,0,1,1,2,1,0
"5ecd2dfbbccbe221a1628ccd",22,"c",0,0,1,1,2,0,0
"5ecd2e72bccbe221a1628d34",22,"g",0.5,1,0,1,1,0,0
"5ecca5e2bccbe221a1626ecf",23,"c",0.5,0,1,1,2,1,3
"5ecca65fbccbe221a1626efe",23,"c",1,0,1,1,2,1,0
"5ecca6f8bccbe221a1626f37",23,"c",0.5,0,1,1,1,1,0
"5ecca867bccbe221a162702d",23,"c",0,0,1,1,2,0,1
"5ecca8e3bccbe221a1627071",23,"c",0.5,0,1,1,3,1,0
"5ecc4a6abccbe221a1624609",24,"c",1,0,0,1,2,1,3
"5ecc4b6fbccbe221a16246c4",24,"g",0.5,0,1,1,1,1,1
"5ecc4c6dbccbe221a16247b3",24,"g",0,0,1,1,1,1,1
"5ecc4cf5bccbe221a162482d",24,"g",0,0,1,1,2,0,0
"5ecc4db4bccbe221a1624899",24,"g",0,0,1,1,2,0,0
"5eceb232bccbe221a162bbe0",25,"c",0,0,1,1,2,0,0
"5eceb354bccbe221a162bc44",25,"c",0,0,1,1,2,0,0
"5eceb45abccbe221a162bc9d",25,"g",0,0,1,1,1,0,0
"5eceb51dbccbe221a162bcb4",25,"s",0.5,0,1,1,1,1,2
"5eceb690bccbe221a162bce1",25,"g",1,0,1,1,2,1,1
"5ed508fe5250f80529914ef4",26,"g",0,0,1,0,3,1,0
"5ed5098c5250f80529914f00",26,"c",0,0,1,1,2,0,0
"5ed50a325250f80529914f0c",26,"c",0.5,0,1,1,3,1,0
"5ed50ad55250f80529914f23",26,"s",1,0,1,1,1,1,0
"5ed50b3a5250f80529914f2f",26,"c",0.5,0,0,1,2,1,0
"5ecdb0aabccbe221a162a4bc",27,"c",1,0,1,1,2,1,0
"5ecdb158bccbe221a162a525",27,"c",0.5,0,1,1,2,1,0
"5ecdb1b6bccbe221a162a553",27,"c",1,0,1,1,2,1,0
"5ecdb212bccbe221a162a576",27,"c",1,0,1,1,2,1,0
"5ecdb26abccbe221a162a59d",27,"c",0,0,1,1,2,0,0
"5ecd0668bccbe221a1628001",28,"c",0.5,0,1,1,2,1,0
"5ecd077fbccbe221a1628023",28,"c",0.5,1,1,1,4,1,0
"5ecd0813bccbe221a1628046",28,"s",0.5,0,1,1,1,1,0
"5ecd0867bccbe221a1628054",28,"s",1,0,1,1,1,3,1
"5ecd08cdbccbe221a1628078",28,"c",0.5,0,1,1,2,2,0
"5ecd0957bccbe221a16280ad",28,"c",0,0,1,1,2,0,0
"5ecd202abccbe221a16287f6",29,"g",0,1,1,1,5,0,0
"5ecd20debccbe221a1628836",29,"c",0,0,1,1,2,0,0
"5ecd2154bccbe221a1628842",29,"c",0,1,1,1,2,1,0
"5ecd21b9bccbe221a162885a",29,"c",0.5,0,1,1,2,1,0
"5ecd221fbccbe221a1628892",29,"c",0.5,0,1,1,2,3,0
"5ecd43a8bccbe221a1629450",30,"c",0.5,1,1,1,2,1,0
"5ecd4662bccbe221a16294e5",30,"g",0,1,1,1,3,0,0
"5ecd470dbccbe221a16294fc",30,"c",0,0,1,1,3,0,0
