"user","Age","Gender"
1,39,"Male"
2,30,"Female"
3,20,"Male"
4,34,"Male"
5,20,"Male"
6,37,"Male"
7,40,"Male"
8,20,"Male"
9,22,"Male"
10,26,"Male"
11,33,"Female"
12,31,"Male"
13,27,"Male"
14,27,"Female"
15,31,"Female"
16,28,"Male"
17,21,"Male"
18,39,"Male"
19,42,"Female"
20,33,"Male"
21,25,"Male"
22,31,"Male"
23,22,"Male"
24,19,"Male"
25,36,"Male"
26,36,"Female"
27,33,"Male"
28,48,"Male"
29,22,"Male"
30,39,"Male"
31,24,"Male"
32,29,"Male"
33,31,"Male"
34,30,"Male"
35,21,"Male"
36,21,"Male"
37,31,"Prefer not to say"
38,23,"Male"
39,36,"Male"
40,26,"Male"
41,27,"Male"
42,26,"Female"
43,19,"Male"
44,36,"Male"
45,49,"Female"
46,28,"Male"
47,53,"Male"
48,19,"Male"
49,29,"Male"
50,41,"Male"
51,24,"Male"
52,37,"Male"
53,38,"Male"
54,19,"Female"
55,29,"Female"
56,20,"Male"
57,18,"Male"
58,41,"Male"
59,54,"Male"
60,22,"Female"
61,22,"Female"
62,20,"Male"
63,53,"Female"
64,33,"Male"
65,25,"Male"
66,38,"Male"
67,24,"Male"
68,33,"Female"
69,25,"Male"
70,31,"Male"
71,22,"Female"
72,25,"Male"
73,19,"Male"
74,35,"Male"
75,38,"Male"
76,33,"Female"
77,49,"Female"
78,38,"Male"
79,19,"Male"
80,30,"Male"
81,34,"Male"
82,35,"Male"
83,40,"Male"
84,18,"Male"
85,23,"Male"
86,31,"Male"
87,36,"Female"
88,25,"Male"
89,18,"Male"
90,21,"Male"
91,24,"Female"
92,35,"Male"
93,32,"Female"
94,32,"Male"
95,30,"Male"
96,18,"Female"
97,41,"Female"
98,39,"Male"
99,34,"Male"
100,41,"Male"
101,26,"Male"
102,31,"Male"
103,25,"Male"
104,29,"non-binary"
105,21,"Male"
106,28,"Male"
107,20,"Male"
108,21,"Male"
109,20,"Male"
110,50,"Male"
111,20,"Male"
112,20,"Male"
113,35,"Male"
114,31,"Male"
115,28,"Female"
116,28,"Male"
117,28,"Male"
118,38,"Male"
119,34,"Male"
120,44,"Male"
121,30,"Female"
122,19,"Male"
123,38,"Male"
124,49,"Male"
125,26,"Male"
126,31,"Female"
127,28,"Female"
128,29,"Male"
129,44,"Male"
130,20,"Female"
131,34,"Male"
132,42,"Male"
133,26,"Male"
134,33,"Male"
135,38,"Male"
136,33,"Male"
137,28,"Male"
138,63,"Female"
139,24,"Male"
140,25,"Male"
141,20,"Male"
142,37,"Male"
143,22,"Male"
144,27,"Male"
145,50,"Male"
146,19,"Male"
147,31,"Female"
148,21,"Male"
149,26,"Male"
150,39,"Male"
151,24,"Male"
152,32,"Male"
153,21,"Male"
154,38,"Male"
155,21,"Male"
156,30,"Male"
157,33,"Male"
158,44,"Male"
