"note","user","selectCountry","addEntity","toHidden.toVisible","selectYear","hoverTextarea","selectCountry.addEntity","removeEntity.addEntity","hoverTextarea.saveNote","clickInputNote.hoverTextarea","clickInputNote.addEntity","selectCountry.hoverMouseline","deselectAll.selectCountry","selectYear.selectCountry","hoverMapPoint.selectCountry","addEntityRepeat.addEntity","hoverMouseline.clickInputNote","hideNotes.showNotes","selectCountry.showNotes","onlyShowMine.alsoShowPublic","showNotes.onlyShowMine","addEntity.saveNote","addEntity.updateNote","selectCountry.hoverTimeline","hoverCountryLabel.selectCountry","clickInputNote.hoverTextarea.addEntity","clickInputNote.addEntity.hoverTextarea","addEntity.hoverTextarea.saveNote","clickInputNote.addEntity.hoverTextarea.saveNote","selectCountry.clickInputNote.addEntity.hoverTextarea.saveNote"
"5ecd3bf2bccbe221a1629187",1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecd3c73bccbe221a16291d8",1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecd3d19bccbe221a162921d",1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecd3dbcbccbe221a1629265",1,8,5,0,0,0,1,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"5ecd3e23bccbe221a162928a",1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecedd05bccbe221a162c024",2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecedeccbccbe221a162c046",2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecedf46bccbe221a162c052",2,5,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecedfbabccbe221a162c06a",2,7,3,1,3,1,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"5ecee03cbccbe221a162c08c",2,9,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
