"user","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Imagination","ExternalLoC"
1,-1,4,8,-5,6,4.57142857142857
2,-7,6,7,-5,5,5.14285714285714
3,-4,3,0,-2,3,-1.14285714285714
4,-1,3,3,-2,5,2.28571428571429
5,-1,2,3,0,-1,-0.571428571428571
6,-1,4,4,-3,4,3.42857142857143
7,-1,4,2,-3,1,0.571428571428571
8,0,1,2,-6,-1,4
9,-2,0,0,-1,4,1.71428571428571
10,-1,2,0,-1,4,2.28571428571429
11,-7,2,4,1,2,1.14285714285714
12,5,6,7,-3,7,4
13,2.666666667,4,3,-3,2,3.42857142857143
14,3,4,-3,-1,-1,1.71428571428571
15,-3,7,6,-4,4,3.42857142857143
16,-2,0,2,-1,4,0.571428571428571
17,-6,-1,1,0,2,-1.14285714285714
18,5,6,1,2,3,3.42857142857143
19,-3,1,2,-8,1,-1.14285714285714
20,-1,5,4,-4,8,-1.14285714285714
21,-2,5,-1,0,1,0.571428571428571
22,8,8,7,-8,4,4
23,-1,3,4,-1,5,0.571428571428571
24,4,4,1,-3,0,0.571428571428571
25,6,5,2,-2,8,2.28571428571429
26,-5,8,5,-4,8,6.85714285714286
27,-6,-2,1,2,1,3.42857142857143
28,-4,-2,1,-2,4,1.71428571428571
29,1,4,6,-4,6,0.571428571428571
30,-7,-7,1,3,2,-2.85714285714286
31,-3,4,7,-7,2,0
32,-4,7,7,-8,4,7.42857142857143
33,5,6,1,-5,7,3.42857142857143
34,2,2,5,-1,6,1.14285714285714
35,-6,3,2,-5,-2,0
36,2,2,3,0,2,0.571428571428571
37,0,1,1,-1,1,0
38,-8,3,1,-1,-4,-1.71428571428571
39,6,3,3,-8,4,3.42857142857143
40,1,4,-2,-1,5,0
41,-2,2,4,3,-1,-1.71428571428571
42,-4,8,4,8,8,0.571428571428571
43,2,1,2,-6,7,1.71428571428571
44,8,3,8,-8,8,8
45,0,2,2,4,2,-1.14285714285714
46,0,3,1,1,4,1.14285714285714
47,1,-3,4,-8,4,5.71428571428571
48,-4,2,7,-1,1,2.28571428571429
49,-1,7,5,-5,-2,2.85714285714286
50,-1,5,7,-5,7,5.14285714285714
51,-1,1,5,-2,4,0
52,1,5,5,-2,3,3.42857142857143
53,-3,2,4,-3,4,-2.28571428571429
54,1,5,1,6,8,1.71428571428571
55,5,7,6,-6,6,5.71428571428571
56,-6,-5,1,4,7,4.57142857142857
57,-2,5,-2,3,5,-1.14285714285714
